sn,species,lab_no,sex,pref_age,pref_status,blank_space,postf_age,postf_status,blanck,ageC,statusC,blanck,year,nest_ID,lay_date,Chick_trivial_ID,Ring_ID,site,Relative_hatch_order,hatch_order,age_diff,clutch_size,brood_size,No_fledgelings,Fledged?,Fledge_age,Fledge_mass,Fledge_tarsus,Fledge_FS,Fledge_FSO,blanck,ID_Bio_mom,ID_Bio_dad,paternity_text,paternity,Fledged,got_sender,Excluded_from_sendered,Last_recorded_age_days,Final_status,Details_about_final_status,Issues
605,BC,CW17_012,F,16,0,,86,0,,86,0,,2017,2017_24,100,GN 76973,GN 76973,Kapunga,0.2,1,0,4,1,1,Yes,16,95,32,54,26,,CW17_031,CW17_033,WPO,0,Yes,Yes,,86,Censored,,
606,BC,CW17_013,M,12,0,,NA,NA,,12,0,,2017,2017_26,127,"r 2,3",GN 76991,Kapunga,0.2,1,0,4,4,3,Yes,12,62.5,26,27,0,,CW17_025,BC*94,WPO,0,Yes,No,,12,Censored,,
607,BC,CW17_014,M,13,0,,NA,NA,,23,0,,2017,2017_26,127,"l 2,3",GN 76995,Kapunga,0.4,2,1,4,4,3,Yes,13,65,26.7,28,0,,CW17_025,BC*95,EPO,1,Yes,Yes_but_exclude,No signal anymore;  predated and sender destroyed?,23,Censored,,
608,BC,GN_76996,F,13,0,,14,1,,14,1,,2017,2017_26,127,"R1,4",GN 76996,Kapunga,0.8,3,2,4,4,3,Yes,13,80.5,28,31,0,,CW17_025,BC*94,WPO,0,Yes,Yes,,14,Dead,,This young was not genetically sexed but must have been a female based on body mass!
609,BC,CW17_015,M,14,0,,39,1,,39,1,,2017,2017_27,127,"r 2,3",GN 76993,Kapunga,0.2,1,0,4,4,4,Yes,14,69,31.3,41,14,,BC#42,BC*96,WPO,0,Yes,Yes,,39,Dead,,Eggs were very small
610,BC,CW17_016,M,13,0,,57,0,,57,0,,2017,2017_27,127,"l 1,2,3&4",GN 76994,Kapunga,0.8,3,1,4,4,4,Yes,13,68.5,29,38,15,,BC#42,BC*96,WPO,0,Yes,Yes,,57,Censored,,Eggs were very small
611,BC,CW17_017,M,14,0,,NA,NA,,17,0,,2017,2017_27,127,"l 2,3",GN 76997,Kapunga,0.4,2,0,4,4,4,Yes,14,60.5,28,33,16,,BC#42,BC*96,WPO,0,Yes,Yes_but_exclude,Lost sender in the nest,17,Censored,,Eggs were very small
612,BC,CW17_018,F,14,0,,27,1,,27,1,,2017,2017_27,127,"r 1,4",GN 76998,Kapunga,1,4,3,4,4,4,Yes,14,92,31.2,45,17,,BC#42,BC*96,WPO,0,Yes,Yes,,27,Dead,,Eggs were very small
613,BC,CW17_019,F,12,0,,23,1,,23,1,,2017,2017_28,139,"l 2,3",GN 90503,Kapunga,0.4,2,1,4,3,3,Yes,12,81,27.2,25,0,,BC#43,BC*97,WPO,0,Yes,Yes,,23,Dead,Starvation?Body not scavenged on!,
614,BC,CW17_020,M,13,0,,54,0,,54,0,,2017,2017_28,139,"r 2,3",GN 90504,Kapunga,0.2,1,0,4,3,3,Yes,13,65.5,28.9,33,9,,BC#43,BC*97,WPO,0,Yes,Yes,,54,Censored,,
615,BC,CW17_021,F,12,0,,57,0,,57,0,,2017,2017_28,139,"r 1,4",GN 90505,Kapunga,1,4,3,4,3,3,Yes,12,65,24.5,21,0,,BC#43,BC*98,EPO,1,Yes,Yes,,57,Censored,Survived beyond the last day of fieldwork,
616,BC,CW17_022,F,12,0,,15,1,,15,1,,2017,2017_30,105,"l 2,3",GN 77000,Kapunga,1,3,1,3,3,3,Yes,12,64,25.1,28,0,,CW17_031,CW17_033,WPO,0,Yes,Yes,,15,Dead,,
617,BC,CW17_023,M,13,0,,55,0,,55,0,,2017,2017_30,105,"r 1,4",GN 90502,Kapunga,0.2,1,0,3,3,3,Yes,13,53,26.4,34,7,,CW17_031,CW17_032,EPO,1,Yes,Yes,,55,Censored,,
618,BC,CW17_024,F,13,0,,60,0,,60,0,,2017,2017_30,105,"r 2,3",GN 90501,Kapunga,0.6,2,0,3,3,3,Yes,13,74,28,30,0,,CW17_031,CW17_033,WPO,0,Yes,Yes,,60,Censored,Survived beyond the last day of fieldwork,
619,BC,CW18_001,M,14,0,,NA,NA,,15,1,,2018,2018_04,54,"L2,3",GN 90553,Kapunga,0.6,2,0,3,2,2,Yes,14,47.5,26.8,29,0,,BC#44,BC*99,WPO,0,Yes,Yes_but_exclude,,15,Dead,"predated by a mammal, mangoose",
620,BC,CW18_002,M,14,0,,NA,NA,,15,1,,2018,2018_04,54,"R1,4",GN 90554,Kapunga,0.2,1,0,3,2,2,Yes,14,49,27.8,31,0,,BC#44,BC*99,WPO,0,Yes,Yes_but_exclude,,15,Dead,"predated by a mammal, mangoose",
621,BC,CW18_003,F,12,0,,NA,NA,,12,0,,2018,2018_16,65,GN 90555,GN 90555,Kapunga,0.2,1,0,5,5,4,Yes,12,85,29.8,33,5,,BC#45,BC*103,WPO,0,Yes,No,,12,Censored,fledged but did not get sender,
622,BC,CW18_004,M,9,0,,NA,NA,,9,0,,2018,2018_16,65,"R2,3",NA,Kapunga,0.8,4,3,5,5,4,Yes,9,54,24.8,16,5,,BC#45,BC*103,WPO,0,Yes,No,,9,Censored,fledged but did not get sender,
623,BC,CW18_005,M,10,0,,NA,NA,,10,0,,2018,2018_16,65,"R1,4",NA,Kapunga,0.6,3,2,5,5,4,Yes,10,76,26.8,26,0,,BC#45,BC*103,WPO,0,Yes,No,,10,Censored,fledged but did not get sender,
624,BC,CW18_006,M,9,0,,NA,NA,,9,0,,2018,2018_16,65,GN 90556,GN 90556,Kapunga,0.4,2,1,5,5,4,Yes,9,55,25.2,26,0,,BC#45,BC*103,WPO,0,Yes,No,,9,Censored,fledged but did not get sender,
625,BC,CW18_007,F,8,1,,NA,NA,,8,1,,2018,2018_16,65,"L2,3",NA,Kapunga,1,5,4,5,5,4,No,NA,NA,NA,NA,NA,,BC#45,BC*103,WPO,0,No,No,,8,Dead,,
626,BC,CW18_015,F,15,0,,NA,NA,,16,1,,2018,2018_11,82,"R1,4",GN 90565,Kapunga,0.4,2,0,5,5,2,Yes,15,81,29.3,35,13,,CW18_064,BC*100,WPO,0,Yes,Yes,exclude-predated before fledging,16,Dead,,
627,BC,CW18_016,F,16,0,,30,1,,30,1,,2018,2018_11,82,"R2,3",GN 90564,Kapunga,0.2,1,0,5,5,2,Yes,16,101,32.7,41,19,,CW18_064,BC*100,WPO,0,Yes,Yes,,30,Dead,,
628,BC,CW18_017,M,14,1,,NA,NA,,14,1,,2018,2018_11,82,"L2,3",GN 90568,Kapunga,0.6,3,2,5,5,2,No,NA,NA,NA,NA,NA,,CW18_064,BC*100,WPO,0,No,Yes,exclude-predated before fledging,14,Dead,,
629,BC,CW18_018,F,11,1,,NA,NA,,11,1,,2018,2018_11,82,"R1,2,3,4",NA,Kapunga,1,5,5,5,5,2,No,NA,NA,NA,NA,NA,,CW18_064,BC*101,EPO,1,No,No,,11,Dead,,
630,BC,CW18_019,M,13,1,,NA,NA,,13,1,,2018,2018_11,82,"L1,4",GN 90569,Kapunga,0.8,4,3,5,5,2,No,NA,NA,NA,NA,NA,,CW18_064,BC*102,EPO,1,No,No,,13,Dead,,
631,BC,CW18_022,F,1,1,,NA,NA,,1,1,,2018,2018_21,91,"L2,3",NA,Kapunga,0.8,3,1,4,3,0,No,NA,NA,NA,NA,NA,,BC#46,BC*105,WPO,0,No,No,,1,Dead,,
632,BC,CW18_023,M,6,1,,NA,NA,,6,1,,2018,2018_18,92,"L2,3",NA,Kapunga,0.8,3,2,4,4,0,No,NA,NA,NA,NA,NA,,CW18_062,CW18_065,WPO,0,No,No,,6,Dead,,
633,BC,CW18_024,F,8,1,,NA,NA,,8,1,,2018,2018_18,92,"L1,4",NA,Kapunga,0.2,1,0,4,4,0,No,NA,NA,NA,NA,NA,,CW18_062,CW18_065,WPO,0,No,No,,8,Dead,,
634,BC,CW18_025,F,5,1,,NA,NA,,5,1,,2018,2018_18,92,"R2,3",NA,Kapunga,1,4,3,4,4,0,No,NA,NA,NA,NA,NA,,CW18_062,CW18_065,WPO,0,No,No,,5,Dead,,
635,BC,CW18_026,F,7,1,,NA,NA,,7,1,,2018,2018_18,92,"R1,4",NA,Kapunga,0.4,2,1,4,4,0,No,NA,NA,NA,NA,NA,,CW18_062,CW18_065,WPO,0,No,No,,7,Dead,,
636,BC,CW18_031,M,NA,NA,,NA,NA,,NA,NA,,2018,2018_20,100,Egg#1,NA,Kapunga,0.8,3,2,4,0,0,No,NA,NA,NA,NA,NA,,CW18_062,CW18_065,EPO,1,No,No,,NA,Egg sample,,
637,BC,CW18_032,M,NA,NA,,NA,NA,,NA,NA,,2018,2018_20,100,Egg#2,NA,Kapunga,0.4,2,1,4,0,0,No,NA,NA,NA,NA,NA,,CW18_062,BC*104,WPO,0,No,No,,NA,Egg sample,,
638,BC,CW18_033,F,NA,NA,,NA,NA,,NA,NA,,2018,2018_20,100,Egg#3,NA,Kapunga,1,4,3,4,0,0,No,NA,NA,NA,NA,NA,,CW18_062,BC*104,WPO,0,No,No,,NA,Egg sample,,
639,BC,CW18_034,F,NA,NA,,NA,NA,,NA,NA,,2018,2018_20,100,Egg#4,NA,Kapunga,0.2,1,0,4,0,0,No,NA,NA,NA,NA,NA,,CW18_062,BC*104,WPO,0,No,No,,NA,Egg sample,,
640,BC,CW18_035,M,13,0,,NA,NA,,13,0,,2018,2018_26,121,"R2,3",GN 90576,Kapunga,0.2,1,0,4,4,4,Yes,13,62,26.9,34,13,,CW18_062,CW18_065,WPO,0,Yes,No,,13,Censored,fledged but did not get sender,
641,BC,CW18_036,M,12,0,,NA,NA,,12,0,,2018,2018_26,121,"L2,3",GN 90577,Kapunga,0.8,3,1,4,4,4,Yes,12,50,24.7,27,0,,CW18_062,CW18_065,WPO,0,Yes,No,,12,Censored,fledged but did not get sender,
642,BC,CW18_037,F,13,0,,NA,NA,,13,0,,2018,2018_26,121,"R1,4",GN 90573,Kapunga,0.4,2,0,4,4,4,Yes,13,74.5,27.3,32,0,,CW18_062,CW18_065,WPO,0,Yes,No,,13,Censored,fledged but did not get sender,
643,BC,CW18_038,M,13,0,,NA,NA,,13,0,,2018,2018_26,121,"L1,4",NA,Kapunga,1,4,2,4,4,4,Yes,13,43.5,22.8,21,0,,CW18_062,CW18_065,WPO,0,Yes,No,,13,Censored,fledged but did not get sender,
644,BC,CW18_039,M,16,0,,72,0,,72,0,,2018,2018_29,121,"R2,3",GN 90574,Flood plain,0.2,1,0,5,5,5,Yes,16,58.5,25.6,47,16,,CW18_067,CW18_070,EPO,1,Yes,Yes,,72,Censored,No signal; might have left the area,
645,BC,CW18_040,M,13,0,,NA,NA,,13,0,,2018,2018_29,121,"L2,3",GN 90578,Flood plain,0.8,4,3,5,5,5,Yes,13,81,29.9,36,14,,CW18_067,CW18_066,WPO,0,Yes,No,,13,Censored,fledgerd but did not get sender,
646,BC,CW18_041,F,14,0,,76,0,,76,0,,2018,2018_29,121,"R1,4",GN 90572,Flood plain,0.6,3,2,5,5,5,Yes,14,56,25,28,9,,CW18_067,CW18_066,WPO,0,Yes,Yes,,76,Censored,survived till end of season,
647,BC,CW18_042,M,15,0,,42,1,,42,1,,2018,2018_29,121,"L1,4",GN 90571,Flood plain,0.4,2,1,5,5,5,Yes,15,68,28.3,45,19,,CW18_067,CW18_066,WPO,0,Yes,Yes,,42,Dead,,
648,BC,CW18_043,M,11,0,,NA,NA,,11,0,,2018,2018_29,121,"R1,2,3,4",NA,Flood plain,1,5,5,5,5,5,Yes,11,37,20.4,15,0,,CW18_067,CW18_066,WPO,0,Yes,No,,11,Censored,fledgerd but did not get sender,
649,BC,CW18_044,M,14,0,,67,0,,67,0,,2018,2018_31,134,"R2,3",GN 90579,Flood plain,0.4,2,0,4,4,2,Yes,14,70,26.8,36,15,,CW18_067,BC*106,WPO,0,Yes,Yes,,67,Censored,survived till end of season,
650,BC,CW18_045,M,7,1,,NA,NA,,7,1,,2018,2018_31,134,"R1,4",NA,Flood plain,0.2,1,0,4,4,2,No,NA,NA,NA,NA,NA,,CW18_067,BC*106,WPO,0,No,No,,7,Dead,missing in nest,
651,BC,CW18_046,F,15,0,,66,0,,66,0,,2018,2018_31,134,"L2,3",GN 90580,Flood plain,0.8,3,1,4,4,2,Yes,15,82,29.2,30,8,,CW18_067,BC*106,WPO,0,Yes,Yes,,66,Censored,survived till end of season,
652,BC,CW18_047,M,13,0,,24,1,,24,1,,2018,2018_32,135,"L2,3",GN 90586,Flood plain,0.8,3,1,4,4,3,Yes,13,61.5,24.4,23,0,,BC#47,CW18_069,WPO,0,Yes,Yes,,24,dead,preadted by Mongoose,
653,BC,CW18_048,M,14,0,,63,0,,63,0,,2018,2018_32,135,"R1,4",GN 90583,Flood plain,0.2,1,0,4,4,3,Yes,14,66,26.1,28,9,,BC#47,CW18_069,WPO,0,Yes,Yes,,63,Censored,survived till end of season,
654,BC,CW18_049,M,14,0,,40,1,,40,1,,2018,2018_32,135,"R2,3",GN 90584,Flood plain,0.4,2,0,4,4,3,Yes,14,73,27.1,29,8,,BC#47,CW18_069,WPO,0,Yes,Yes,,40,Dead,Found dead;  starvation?,
655,BC,CW18_050,M,13,1,,NA,NA,,13,1,,2018,2018_33,141,"R2,3",NA,Flood plain,0.2,1,0,4,3,1,No,NA,NA,NA,NA,NA,,CW18_067,CW18_070,WPO,0,No,No,,13,Dead,predated in nest,
656,BC,CW18_051,M,15,0,,58,0,,58,0,,2018,2018_33,141,"L2,3",GN 90587,Flood plain,0.4,2,1,4,3,1,Yes,15,55.5,25.3,36,15,,CW18_067,CW18_070,WPO,0,Yes,Yes,,58,Censored,survived till end of season,
657,BC,CW18_052,F,7,1,,NA,NA,,7,1,,2018,2018_33,141,"R1,4",NA,Flood plain,0.8,3,3,4,3,1,No,NA,NA,NA,NA,NA,,CW18_067,CW18_070,WPO,0,No,No,,7,Dead,died in nest; starvation?,
658,BC,CW18_057,M,12,0,,22,0,,22,0,,2018,2018_34,150,"L2,3",GN 90592,Flood plain,0.2,1,0,4,3,3,Yes,12,70.5,26.6,33,4,,CW18_067,CW18_071,WPO,0,Yes,Yes,,22,Censored,lost signal; posibly predated,
659,BC,CW18_058,F,13,0,,46,1,,46,1,,2018,2018_34,150,"R1,4",GN 90593,Flood plain,0.8,3,1,4,3,3,Yes,13,80,26.7,31,9,,CW18_067,CW18_071,WPO,0,Yes,Yes,,46,Dead,predated,
660,BC,CW18_059,M,14,0,,30,0,,30,0,,2018,2018_34,150,"R2,3",GN 90591,Flood plain,0.4,2,0,4,3,3,Yes,14,66,28.5,37,16,,CW18_067,CW18_071,WPO,0,Yes,Yes,,30,censored,lost signal; posibly predated,
661,BC,CW18_061,M,NA,NA,,NA,NA,,NA,NA,,2018,2018_34,150,Egg#4,NA,Flood plain,1,4,2,4,3,3,No,NA,NA,NA,NA,NA,,CW18_067,CW18_071,WPO,0,No,No,,NA,egg sample,,
662,BC,CW18_060,M,11,0,,15,1,,15,1,,2018,2018_36,147,"R2,3",GN 90589,Flood plain,0.4,2,1,4,3,2,Yes,11,55.5,24.6,25,10,,BC#48,BC*107,EPO,1,Yes,Yes,,15,Dead,Preadated,
663,BC,CW18_056,M,12,0,,16,1,,16,1,,2018,2018_36,147,"L2,3",GN 90588,Flood plain,0.2,1,0,4,3,2,Yes,12,52.5,26.9,30,14,,BC#48,BC*108,WPO,0,Yes,Yes,,16,Dead,Preadated,
664,CTC,CW16_106,M,15,0,,NA,NA,,18,0,,2016,2016_35,61,"R2,3",HF 49002,Kapunga,0.2,1,0,5,3,2,Yes,15,187,45.8,82,40,,CW16_124,CW16_125,WPO,0,Yes,No,,18,Censored,NA,
665,CTC,CW16_107,M,10,1,,NA,NA,,10,1,,2016,2016_35,61,"R1,4",HF 49004,Kapunga,0.4,2,2,5,3,2,No,NA,NA,NA,NA,NA,,CW16_124,CW16_125,WPO,0,No,No,,10,Dead,NA,
666,CTC,CW16_108,M,11,0,,NA,NA,,14,0,,2016,2016_35,61,"L2,3",HF 49003,Kapunga,0.6,3,4,5,3,2,Yes,11,160,40.8,52,19,,CW16_124,CW16_125,WPO,0,Yes,No,,14,Censored,NA,
667,CTC,CW16_120,M,NA,NA,,NA,NA,,NA,NA,,2016,2016_35,61,Egg#2,NA,Kapunga,0.8,4,NA,5,3,2,No,NA,NA,NA,NA,NA,,CW16_124,CW16_125,WPO,0,NA,NA,,NA,Egg sample,,
668,CTC,CW16_110,M,14,0,,NA,NA,,14,0,,2016,2016_49,76,"R1,4",HF 49005,Kapunga,1,4,3,4,4,4,Yes,14,182,40.2,73,40,,CTC#1,CW16_122,WPO,0,Yes,No,,14,Censored,NA,
669,CTC,CW16_109,F,16,0,,NA,NA,,16,0,,2016,2016_49,76,"R2,3",HF 49006,Kapunga,0.4,2,1,4,4,4,Yes,16,208,45,77,40,,CTC#1,CW16_122,WPO,0,Yes,No,,16,Censored,NA,
670,CTC,CW16_111,M,17,0,,NA,NA,,17,0,,2016,2016_49,76,"L2,3",HF 49007,Kapunga,0.2,1,0,4,4,4,Yes,17,176,44.2,73,53,,CTC#1,CW16_122,WPO,0,Yes,No,,17,Censored,NA,
671,CTC,CW16_112,F,15,0,,NA,NA,,15,0,,2016,2016_49,76,"L1,4",HF 49008,Kapunga,0.8,3,2,4,4,4,Yes,15,185,42.7,61,34,,CTC#1,CW16_122,WPO,0,Yes,No,,15,Censored,NA,
672,CTC,CW16_113,M,15,0,,NA,NA,,15,0,,2016,2016_67,102,"R2,3",HF 49010,Kapunga,0.4,2,1,5,4,0,No,NA,NA,NA,NA,NA,,CW16_124,CW16_125,WPO,0,Yes,No,,15,Censored,fledged,
673,CTC,CW16_114,M,16,0,,NA,NA,,16,0,,2016,2016_67,102,"R1,4",HF 49011,Kapunga,0.2,1,0,5,4,0,No,NA,NA,NA,NA,NA,,CW16_124,CW16_125,WPO,0,Yes,No,,16,Censored,fledged,
674,CTC,CW16_115,M,13,1,,NA,NA,,13,1,,2016,2016_67,102,"L2,3",HF 49012,Kapunga,0.6,3,3,5,4,0,No,NA,NA,NA,NA,NA,,CW16_124,CW16_125,WPO,0,No,No,,13,Dead,Predated,
675,CTC,CW16_116,M,11,0,,NA,NA,,11,0,,2016,2016_67,102,"L1,4",HF 49013,Kapunga,0.8,4,5,5,4,0,No,NA,NA,NA,NA,NA,,CW16_124,CW16_125,WPO,0,Yes,No,,11,Censored,Censored,
676,CTC,CW16_121,M,NA,NA,,NA,NA,,NA,NA,,2016,2016_67,102,Egg#5,NA,Kapunga,1,5,NA,5,4,0,No,NA,NA,NA,NA,NA,,CW16_124,CW16_125,WPO,0,NA,NA,,NA,Egg sample,,
677,CTC,CW16_117,F,9,1,,NA,NA,,9,1,,2016,2016_73,142,"R2,3",NA,Kapunga,0.2,1,0,3,3,0,No,NA,NA,NA,NA,NA,,CW16_124,CW16_125,WPO,0,No,No,,9,Dead,Predated at nest before fledging,
678,CTC,CW16_118,F,6,1,,NA,NA,,6,1,,2016,2016_73,142,"R1,4",NA,Kapunga,0.6,2,3,3,3,0,No,NA,NA,NA,NA,NA,,CW16_124,CW16_125,WPO,0,No,No,,6,Dead,Predated at nest before fledging,
679,CTC,CW16_119,F,4,1,,NA,NA,,4,1,,2016,2016_73,142,"L2,3",NA,Kapunga,1,3,5,3,3,0,No,NA,NA,NA,NA,NA,,CW16_124,CW16_125,WPO,0,No,No,,4,Dead,Predated at nest before fledging,
680,CTC,CW17_034,M,21,0,,NA,NA,,21,0,,2017,2017_25,103,"R1,4",HF 49015,Kapunga,0.2,1,0,4,3,3,Yes,21,187,48.1,85,47,,CTC#2,CTC*1,WPO,0,Yes,No,,21,Censored,,
681,CTC,CW17_035,F,20,0,,NA,NA,,20,0,,2017,2017_25,103,"R2,3",HF 49016,Kapunga,0.4,2,3,4,3,3,Yes,20,197,43.3,79,45,,CTC#2,CTC*1,WPO,0,Yes,No,,20,Censored,,
682,CTC,CW17_036,F,19,0,,NA,NA,,19,0,,2017,2017_25,103,"L2,3",HF 49018,Kapunga,0.8,3,4,4,3,3,Yes,19,210,45.3,69,34,,CTC#2,CTC*1,WPO,0,Yes,No,,19,Censored,,
683,CTC,CW18_053,F,17,0,,NA,NA,,17,0,,2018,2018_35,140,"R2,3",HF 49017,Flood plain,0.4,2,0,4,3,3,Yes,17,202,46.6,71,41,,CTC#3,CTC*2,WPO,0,Yes,No,,17,Censored,,
684,CTC,CW18_054,F,15,0,,NA,NA,,15,0,,2018,2018_35,140,"L2,3",HF 49019,Flood plain,0.2,1,0,4,3,3,Yes,15,173,45.4,61,32,,CTC#3,CTC*2,WPO,0,Yes,No,,15,Censored,,
685,CTC,CW18_055,F,10,0,,NA,NA,,10,0,,2018,2018_35,140,"R1,4",HF 49020,Flood plain,0.8,3,3,4,3,3,Yes,11,84.5,29.5,20,0,,CTC#3,CTC*2,WPO,0,Yes,No,,10,Censored,,
686,WBC,CM05_048,M,13,0,,NA,NA,,13,0,,2005,2005_17,42,Nest W-GAY1 chick L 2+3,GN 44464,Kapunga,1,4,3,4,4,4,Yes,13,77,24.8,25,2,,CM05_051,CM05_026,WPO,0,Yes,No,,13,Censored,,
687,WBC,CM05_044,M,17,0,,NA,NA,,17,0,,2005,2005_17,42,CM 00020,NA,Kapunga,0.2,1,0,4,4,4,Yes,17,84,29.8,38,NA,,CM05_051,CM05_026,WPO,0,Yes,No,,17,Censored,,
688,WBC,CM05_045,M,16,0,,NA,NA,,16,0,,2005,2005_17,42,CM 00019,NA,Kapunga,0.4,2,1,4,4,4,Yes,16,78,29.4,39,NA,,CM05_051,CM05_026,WPO,0,Yes,No,,16,Censored,,
689,WBC,CM05_046,F,15,0,,NA,NA,,15,0,,2005,2005_17,42,Nest W-GAY1 chick L 1+4,GN 44463,Kapunga,0.8,3,2,4,4,4,Yes,15,101,28.9,32,NA,,CM05_051,CM05_026,WPO,0,Yes,No,,15,Censored,,
690,WBC,CM05_070,F,14,0,,NA,NA,,14,0,,2005,2005_18,70,Chick L 2/3 of W-LBAR,GN 44489,Kapunga,0.4,2,1,5,3,2,Yes,14,86,27.5,17.7,NA,,CM05_067,CM05_018,WPO,0,Yes,No,,14,Censored,,
691,WBC,CM05_071,M,15,0,,NA,NA,,15,0,,2005,2005_18,70,Chick R 2/3 of W-LBAR,GN 44490,Kapunga,0.2,1,0,5,3,2,Yes,15,74,30.6,53.1,NA,,CM05_067,CM05_018,WPO,0,Yes,No,,15,Censored,,
692,WBC,CM05_091,F,13,0,,NA,NA,,13,0,,2005,2005_19,86,W-WAY 2   chick R 1+4,GN 52368,Kapunga,0.6,3,2,5,4,2,Yes,13,88,27.3,29.2,NA,,CM05_037,CM05_038,WPO,0,Yes,No,,13,Censored,,
693,WBC,CM05_096,F,15,0,,NA,NA,,15,0,,2005,2005_19,86,W-WAY 2   chick R 2+3,GN 52367,Kapunga,0.2,1,0,5,4,2,Yes,15,103,30.4,39.4,NA,,CM05_037,CM05_038,WPO,0,Yes,No,,15,Censored,,
694,WBC,CM05_069,M,15,0,,NA,NA,,15,0,,2005,2005_20,70,"Chick R 2/3 of W-WR,W-LGAO",GN 44488,Kapunga,0.2,1,0,5,3,2,Yes,15,94,31.2,45.5,16,,CM05_072,CM05_009,WPO,0,Yes,No,,15,Censored,,
695,WBC,CM05_075,M,14,0,,NA,NA,,14,0,,2005,2005_20,70,Chick L 1/4 of W-WR of W-LGAO,GN 44492,Kapunga,0.8,4,3,5,3,2,Yes,14,95,29.2,34.8,NA,,CM05_072,CM05_009,WPO,0,Yes,No,,14,Censored,,
696,WBC,CM05_102,M,16,0,,NA,NA,,16,0,,2005,2005_21,102,W-LBAR 2   chick R 2+3,GN 52376,Kapunga,0.2,1,0,5,5,4,Yes,16,90,30.7,NA,NA,,CM05_067,CM05_018,WPO,0,Yes,No,,16,Censored,,
697,WBC,CM05_113,M,15,0,,NA,NA,,15,0,,2005,2005_21,102,W-LBAR 2   chick L 2+3,GN 52378,Kapunga,0.4,2,1,5,5,4,Yes,15,74,29.3,NA,NA,,CM05_067,CM05_018,WPO,0,Yes,No,,15,Censored,,
698,WBC,CM05_115,F,13,0,,NA,NA,,13,0,,2005,2005_21,102,W-LBAR 2   chick L 1+4,GN 52377,Kapunga,0.6,3,2,5,5,4,Yes,13,90,27.8,34.4,NA,,CM05_067,CM05_018,WPO,0,Yes,No,,13,Censored,,
699,WBC,CM05_122,F,12,0,,NA,NA,,12,0,,2005,2005_21,102,W-LBAR 2   chick R 1+4,GN 52379,Kapunga,0.8,4,3,5,5,4,Yes,12,80,26,26.8,NA,,CM05_067,CM05_018,WPO,0,Yes,No,,12,Censored,,
700,WBC,CM05_112,F,9,1,,NA,NA,,9,1,,2005,2005_22,120,CM 00036,NA,Kapunga,0.8,4,3,5,5,3,No,NA,NA,NA,NA,NA,,CM05_117,CM05_116,WPO,0,No,No,,9,dead,,
701,WBC,CM05_125,M,14,0,,NA,NA,,14,0,,2005,2005_22,120,W-OAR 1   chick R 2+3,GN 52390,Kapunga,0.2,1,0,5,5,3,Yes,14,85,27.9,34.9,0,,CM05_117,CM05_116,WPO,0,Yes,No,,14,Censored,,
702,WBC,CM05_126,M,12,0,,NA,NA,,12,0,,2005,2005_22,120,W-OAR 1   chick L 1+4,GN 52388,Kapunga,0.6,3,2,5,5,3,Yes,12,87,25.9,25.4,0,,CM05_117,CM05_116,WPO,0,Yes,No,,12,Censored,,
703,WBC,CM05_128,M,13,0,,NA,NA,,13,0,,2005,2005_22,120,W-OAR 1   chick R 1+4,GN 52389,Kapunga,0.4,2,1,5,5,3,Yes,13,77,27,29.4,0,,CM05_117,CM05_116,WPO,0,Yes,No,,13,Censored,,
704,WBC,CM05_097,F,7,1,,NA,NA,,7,1,,2005,2005_23,95,CM 00028,NA,Kapunga,0.8,4,3,5,5,3,No,NA,NA,NA,NA,NA,,WBC#28,CM05_028,WPO,0,No,No,,7,dead,,
705,WBC,CM05_098,M,15,0,,NA,NA,,15,0,,2005,2005_23,95,W-RAW 2   chick R 1+4,GN 52371,Kapunga,0.4,2,1,5,5,3,Yes,15,NA,31.6,NA,NA,,WBC#28,CM05_028,WPO,0,Yes,No,,15,Censored,,
706,WBC,CM05_118,F,14,0,,NA,NA,,14,0,,2005,2005_23,95,W-RAW 2   chick R 2+3,GN 52372,Kapunga,0.6,3,2,5,5,3,Yes,14,95,30.5,NA,NA,,WBC#28,CM05_028,WPO,0,Yes,No,,14,Censored,,
707,WBC,CM05_120,F,16,0,,NA,NA,,16,0,,2005,2005_23,95,W-RAW 2   chick L 2+3,GN 52370,Kapunga,0.2,1,0,5,5,3,Yes,16,110,33.3,NA,NA,,WBC#28,CM05_028,WPO,0,Yes,No,,16,Censored,,
708,WBC,CM05_092,F,16,0,,NA,NA,,16,0,,2005,2005_24,83,W-YAR 1   chick L 1+4,GN 52362,Kapunga,0.4,2,1,4,4,4,Yes,16,104,29.8,38.9,NA,,WBC#27,CM05_033,WPO,0,Yes,No,,16,Censored,,
709,WBC,CM05_104,F,14,0,,NA,NA,,14,0,,2005,2005_24,83,W-YAR 1   chick L 2+3,GN 52366,Kapunga,1,4,3,4,4,4,Yes,14,95,28.8,26.4,NA,,WBC#27,CM05_033,WPO,0,Yes,No,,14,Censored,,
710,WBC,CM05_123,M,17,0,,NA,NA,,17,0,,2005,2005_24,83,W-YAR 1   chick R 2+3,GN 52358,Kapunga,0.2,1,0,4,4,4,Yes,17,95,30.4,43.2,NA,,WBC#27,CM05_033,WPO,0,Yes,No,,17,Censored,,
