sn,species,lab_no,sex,pref_age,pref_status,blank_space,postf_age,postf_status,blanck,ageC,statusC,blanck,year,nest_ID,lay_date,Chick_trivial_ID,Ring_ID,site,Relative_hatch_order,hatch_order,age_diff,clutch_size,brood_size,No_fledgelings,Fledged?,Fledge_age,Fledge_mass,Fledge_tarsus,Fledge_FS,Fledge_FSO,blanck,ID_Bio_mom,ID_Bio_dad,paternity_text,paternity,Fledged,got_sender,Excluded_from_sendered,Last_recorded_age_days,Final_status,Details_about_final_status,Issues
35,BC,WG06_095,M,12,0,,NA,NA,,12,0,,2001,2001_13,89,D10/11 chick 1,GN 41750,Kapunga,0.2,1,0,4,4,4,Yes,12,58,28.6,40,18,,WG06_101,WG06_068,WPO,0,Yes,No,,12,Censored,,
36,BC,WG06_119,F,11,0,,NA,NA,,11,0,,2001,2001_13,89,chick #4 RBC D10/11,,Kapunga,1,4,3,4,4,4,Yes,11,44,25,21,0,,WG06_101,WG06_068,WPO,0,Yes,No,,11,Censored,,
37,BC,WG06_099,M,10,0,,NA,NA,,10,0,,2001,2001_16,99,"r 2, 3 chick GRN",,Kapunga,0.8,3,2,4,3,3,Yes,10,45,26.2,26,12,,BC#5,WG06_115,WPO,0,Yes,No,,10,Censored,,
38,BC,WG06_105,F,10,0,,NA,NA,,10,0,,2001,2001_16,99,re 1.4 chick of GRN,,Kapunga,0.4,2,2,4,3,3,Yes,10,46,25.5,28,8,,BC#5,WG06_115,WPO,0,Yes,No,,10,Censored,,
39,BC,WG06_114,M,14,0,,NA,NA,,14,0,,2001,2001_16,99,GN 41763 chick organ,GN 41763,Kapunga,0.2,1,0,4,3,3,Yes,14,70,31.3,44,27,,BC#5,WG06_115,WPO,0,Yes,No,,14,Censored,,
40,BC,WG06_100,M,13,0,,NA,NA,,13,0,,2001,2001_18,105,chick #2 RBC D11/12 ml,,Kapunga,0.8,3,2,4,3,3,Yes,13,63,28,33,0,,BC#6,WG06_003,EPO,1,Yes,No,,13,Censored,,
41,BC,WG06_107,M,12,0,,NA,NA,,12,0,,2001,2001_18,105,chick 1 D11/12 ml RBC,,Kapunga,0.4,2,1,4,3,3,Yes,12,58,26.8,31,0,,BC#6,WG06_111,WPO,0,Yes,No,,12,Censored,,
42,BC,WG06_109,F,14,0,,NA,NA,,14,0,,2001,2001_18,105,GN 41767 chick,GN 41767,Kapunga,0.2,1,0,4,3,3,Yes,14,70,28.2,30,0,,BC#6,WG06_111,WPO,0,Yes,No,,14,Censored,,
43,BC,WG06_098,M,4,0,,NA,NA,,4,0,,2001,2001_21,116,chick #3 Y5 NEST 3,,Kapunga,0.4,2,1,4,4,0,No,NA,NA,NA,NA,NA,,WG06_005,WG06_004,WPO,0,No,No,,4,Censored,,
44,BC,WG06_102,M,2,0,,NA,NA,,2,0,,2001,2001_21,116,chick #1 Nest 3 Y5,,Kapunga,1,4,3,4,4,0,No,NA,NA,NA,NA,NA,,WG06_005,WG06_013,EPO,1,No,No,,2,Censored,,
