ch,ring_ID,sex,site,year,nest_ID
0010001000000000001000000010001000000000000010001000100010000000000000000000000000000000000000000000000000000000,GN76925,F,kapunga,2016,2016_71
0010000010100010001000100010001000100000001000001000001000100010001000100010000010001000100010001000100010001000,GN76977,M,kapunga,2017,2017_19
0000000000000000000000100000000000000000000000000000000000000011000000000000000000000000000000000000000000000000,GN76979,F,kapunga,2017,2017_19
0010001000100000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76998,F,kapunga,2017,2017_27
0010001000100010000010001000100010001000100010001000100010000010001000100010000000000000000000000000000000000000,GN90504,M,kapunga,2017,2017_28
0000000010000000000000100000000000000010001000100000100000100000110000000000000000000000000000000000000000000000,GN90593,F,floodplain,2018,2018_34
1000100010001000100000100010001000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76725,F,utengule,2015,2015_07
1000100010001000100000100010001000100010001000100000001000100010001000100010001000100000000000000000000000100000,GN76737,M,utengule,2015,2015_07
1000001000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76759,M,utengule,2015,2015_15
1000100010001000100010001000100010001000110000000000000000000000000000000000000000000000000000000000000000000000,GN76779,F,utengule,2015,2015_37
1000100010001000100010001000100010001000100010001000100010001000100000001000000010001000100010001000100010001000,GN76783,M,utengule,2015,2015_46
1000100010001000100010000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76787,M,utengule,2015,2015_46
1000100010001000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76814,F,utengule,2015,2015_63
1000100010001000100010001000100010001000001010100000000000100010000000100000100000100000001000100000000000000010,GN56997,F,kapunga,2014,2014_13
1000100010001000100010001000100010001000000000000010001000100010000000100000100000100000001000100000001000000000,GN56999,M,kapunga,2014,2014_13
1000100010001000100010001000100010000010000000001000100010001000100010001000100010001000100010000000100010001000,GN76606,F,kapunga,2014,2014_24
1000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76670,F,kapunga,2014,2014_61
1000100010001000100010001000001000100010001000100010001000100010001000100010000000000000000000000000000000000000,GN76671,M,kapunga,2014,2014_50
